"","Shom_PJ_029","Shom_PJ_030","Shom_PJ_031","Shom_PJ_032","Shom_PJ_033","Shom_PJ_034","Shom_PJ_035","Shom_PJ_036","Shom_PJ_037"
"Shom_DM21D06_00001",7396,6774,12177,6998,9759,5132,5720,7997,7479
"Shom_DM21D06_00002",425,392,492,607,840,962,632,805,692
"Shom_DM21D06_00003",1012,948,1519,2327,2493,2315,1427,2008,2357
"Shom_DM21D06_00004",631,614,975,1644,1772,1849,963,1419,1681
"Shom_DM21D06_00005",78,94,136,244,290,338,150,234,279
"Shom_DM21D06_00006",100,108,174,293,361,355,227,254,317
"Shom_DM21D06_00007",12121,11624,21051,49368,59089,64216,36208,50177,66687
"Shom_DM21D06_00008",617,601,1165,3593,4149,4390,1806,2898,3881
"Shom_DM21D06_00009",800,815,1370,2162,1415,5006,1459,1913,5942
"Shom_DM21D06_00010",229133,221597,238763,359288,383035,418775,254813,344770,281718
"Shom_DM21D06_00011",55380,53347,52348,78672,88734,72271,61259,84537,58613
"Shom_DM21D06_00012",1413,1372,1784,2994,3970,2554,2528,3204,2819
"Shom_DM21D06_00013",10256,9995,14775,23022,31341,18631,18117,24180,20715
"Shom_DM21D06_00014",11924,11186,9770,4697,6425,3831,5859,8049,5537
"Shom_DM21D06_00015",9812,9235,7094,5022,6183,4423,4688,6752,4896
"Shom_DM21D06_00016",11992,11692,12574,6293,7802,6982,5393,8732,7392
"Shom_DM21D06_00017",5989,5621,7513,9860,11925,10719,10270,13410,12661
"Shom_DM21D06_00018",6896,6247,9156,8104,8187,11181,6215,8694,10162
"Shom_DM21D06_00019",24776,23716,37355,28095,29119,38555,22256,32490,36986
"Shom_DM21D06_00020",17992,17477,27049,13205,15268,19043,14534,22096,22788
"Shom_DM21D06_00021",6246,5855,5008,204989,193610,152009,75145,93480,74922
"Shom_DM21D06_00022",7102,6763,6888,85381,91948,50396,33733,38537,29432
"Shom_DM21D06_00023",1131,1036,800,21992,22656,12640,8430,9187,5399
"Shom_DM21D06_00024",3982,3578,5423,3607,4048,4196,3277,4497,4665
"Shom_DM21D06_00025",13139,12815,17830,11400,13215,12984,11365,16045,15323
"Shom_DM21D06_00026",23130,21971,29843,17916,21154,19538,18025,26569,22743
"Shom_DM21D06_00027",5133,4904,6482,4131,4547,5193,4207,6187,6163
"Shom_DM21D06_00028",8509,7962,12441,7333,7882,9022,7327,10764,11043
"Shom_DM21D06_00029",51520,49837,76621,54021,55801,63792,48575,75149,78568
"Shom_DM21D06_00030",3299,3250,4919,5437,5520,7001,4873,6713,5820
"Shom_DM21D06_00031",1209,1274,1643,2087,2252,2161,1982,2648,2592
"Shom_DM21D06_00032",11749,10919,14306,31203,31790,35143,21580,28459,32324
"Shom_DM21D06_00033",22738,22380,24638,54692,58883,60970,43631,59133,57409
"Shom_DM21D06_00034",5973,5783,8366,7114,9066,9058,6651,9000,6980
"Shom_DM21D06_00035",6170,5113,8853,6668,8883,9529,6511,9594,8777
"Shom_DM21D06_00036",8976,8251,12731,6881,7946,11915,4844,7279,7348
"Shom_DM21D06_00037",77559,75092,111550,120623,131400,138364,103696,142891,161746
"Shom_DM21D06_00038",13144,12126,14544,52382,48217,64844,22403,29077,26953
"Shom_DM21D06_00039",5221,4982,4845,7872,9437,6933,6618,10003,6701
"Shom_DM21D06_00040",9715,9020,11814,9910,11971,11183,10900,14595,14477
"Shom_DM21D06_00041",15236,14598,20194,17276,20989,16898,15272,23394,23936
"Shom_DM21D06_00042",17039,16209,21334,20409,24686,20953,19275,27476,27300
"Shom_DM21D06_00043",22471,22132,29001,16093,20711,20281,18160,27165,26518
"Shom_DM21D06_00044",19098,18592,24330,11347,16137,15461,15339,22914,21532
"Shom_DM21D06_00045",17058,16540,20698,7941,12224,10771,12489,19465,16290
"Shom_DM21D06_00046",12668,13124,15753,7070,10310,8352,9067,14087,11926
"Shom_DM21D06_00047",31706,30841,32205,19576,25593,21802,22036,33658,29513
"Shom_DM21D06_00048",35711,35192,50819,31608,42876,38357,38538,56866,50673
"Shom_DM21D06_00049",43125,43198,48636,37476,48209,35665,49438,69333,51761
"Shom_DM21D06_00050",31724,30886,39428,8458,16003,8597,14307,18104,12440
"Shom_DM21D06_00051",13337,12631,10500,7499,11701,6771,10171,14349,11249
"Shom_DM21D06_00052",7726,7568,6613,4084,6360,3992,5442,8330,6153
"Shom_DM21D06_00053",17598,17080,17855,19374,21208,19885,13300,18629,18237
"Shom_DM21D06_00054",83246,81949,80229,80149,93909,76909,57558,80517,75578
"Shom_DM21D06_00055",12538,12019,12591,12575,14902,12148,9610,13521,11490
"Shom_DM21D06_00056",2247,2161,2175,2317,2738,2175,1661,2428,2026
"Shom_DM21D06_00057",42299,41140,44815,40545,48431,39332,33519,47916,39747
"Shom_DM21D06_00058",5945,6154,6037,6407,7605,6782,5290,7245,6391
"Shom_DM21D06_00059",44053,42367,41272,33046,42623,29518,36907,54536,42778
"Shom_DM21D06_00060",39534,37655,47187,23426,32438,23202,23726,33146,28839
"Shom_DM21D06_00061",41004,38071,51115,24618,34309,23520,22292,33911,27648
"Shom_DM21D06_00062",8417,8308,11001,3118,4988,2671,4031,6020,4041
"Shom_DM21D06_00063",14168,13664,19693,7532,10287,7241,8479,13042,9378
"Shom_DM21D06_00064",30366,29835,34057,9207,17182,10263,25187,34576,18912
"Shom_DM21D06_00065",40475,40026,41015,10982,20990,11604,28694,40979,22076
"Shom_DM21D06_00066",198886,194829,270114,113651,153156,138414,139348,199615,143678
"Shom_DM21D06_00067",186369,183240,242096,59440,105193,57925,86657,121635,71950
"Shom_DM21D06_00068",34008,33273,43525,23793,30166,31439,28626,38266,37769
"Shom_DM21D06_00069",58472,56024,70258,41619,52064,54688,52611,70112,69384
"Shom_DM21D06_00070",13301,13096,15134,9193,11271,12377,10725,14556,15346
"Shom_DM21D06_00071",26575,26633,31164,21803,25251,30626,26359,35060,33275
"Shom_DM21D06_00072",41833,39724,29227,21271,26214,14259,17821,25742,16772
"Shom_DM21D06_00073",81246,78077,56886,37935,48829,24599,33815,48997,29911
"Shom_DM21D06_00074",479,467,577,1293,1296,1647,1129,1731,1175
"Shom_DM21D06_00075",9437,9371,6670,83722,84243,66055,71581,82863,52392
"Shom_DM21D06_00076",12806,12747,10175,103602,110165,90536,85343,96813,59933
"Shom_DM21D06_00077",7878,7370,7237,19420,21091,14106,11874,15142,13226
"Shom_DM21D06_00078",4554,4232,4608,7910,8300,7461,5669,7485,7110
"Shom_DM21D06_00079",14728,14281,21308,7459,8502,13782,10252,17027,13320
"Shom_DM21D06_00080",22863,21358,35796,8796,10655,16414,13547,22260,17411
"Shom_DM21D06_00081",538,468,761,315,377,564,436,655,571
