"","Sepi_PJ_010","Sepi_PJ_011","Sepi_PJ_012","Sepi_PJ_013","Sepi_PJ_014","Sepi_PJ_015","Sepi_PJ_016","Sepi_PJ_017","Sepi_PJ_018"
"Sepi_DM24B03_00001",20373,26815,20589,31099,41959,49376,18563,21118,27908
"Sepi_DM24B03_00002",51088,43146,41974,39776,54683,51928,34113,49846,46524
"Sepi_DM24B03_00003",6723,5771,5694,5653,8377,7132,4842,6654,5431
"Sepi_DM24B03_00004",46486,36867,37115,46867,65654,61595,41048,52503,45924
"Sepi_DM24B03_00005",37311,30698,29044,43006,63520,60126,33055,34102,34500
"Sepi_DM24B03_00006",46426,42820,39805,55000,80239,79247,38473,41368,40563
"Sepi_DM24B03_00007",1281,2644,2035,991,1678,1348,878,1001,958
"Sepi_DM24B03_00008",455402,268207,306431,74371,86683,75136,145815,169394,130032
"Sepi_DM24B03_00009",547,764,594,258,394,321,553,1378,966
"Sepi_DM24B03_00010",166,91,114,419,662,533,587,643,465
"Sepi_DM24B03_00011",127,106,89,337,464,397,389,574,493
"Sepi_DM24B03_00012",875,299,423,2761,4022,3269,2648,2627,2359
"Sepi_DM24B03_00013",26954,35096,33824,30569,45072,39564,25935,37231,30263
"Sepi_DM24B03_00014",116871,120669,113146,100355,149691,136558,85153,115443,104857
"Sepi_DM24B03_00015",30438,30266,29403,18980,28727,25408,15968,22650,19844
"Sepi_DM24B03_00016",21490,19729,20369,15798,24818,23334,12231,15932,13585
"Sepi_DM24B03_00017",13042,11750,11174,22662,34577,32134,6205,6605,7739
"Sepi_DM24B03_00020",23244,16381,17126,23274,32892,29016,21209,29117,25832
"Sepi_DM24B03_00021",39759,34500,31101,59877,83659,85365,47454,53361,59092
"Sepi_DM24B03_00022",13720,17492,14206,29387,41162,45406,20412,23365,28259
"Sepi_DM24B03_00023",12596,14360,12649,17866,25626,26124,12497,15516,15872
"Sepi_DM24B03_00024",6134,6745,6011,4755,7659,5921,5187,6810,5247
"Sepi_DM24B03_00025",6063,7164,5925,12115,19662,15575,9769,19034,14826
"Sepi_DM24B03_00026",20945,15924,16658,13295,22261,19440,11983,21280,17256
"Sepi_DM24B03_00027",1635,887,1120,595,999,748,714,1201,1003
"Sepi_DM24B03_00028",34598,34675,30883,20209,31242,26700,22485,42235,38552
"Sepi_DM24B03_00029",1283,1415,1233,1313,1932,1487,1320,2268,1957
"Sepi_DM24B03_00030",13466,21161,19720,11093,17221,13540,8867,15429,12245
"Sepi_DM24B03_00031",3228,6263,5316,2320,4028,3192,2262,4123,3224
"Sepi_DM24B03_00032",24143,17867,20088,38937,59442,51819,25567,31748,29232
"Sepi_DM24B03_00033",26673,18837,19908,20809,27478,25673,19678,30797,27484
"Sepi_DM24B03_00034",6418,4209,4843,4389,6327,5000,4355,5911,4488
"Sepi_DM24B03_00035",84,133,104,72,123,110,89,152,150
"Sepi_DM24B03_00036",13,16,11,7,11,7,5,10,11
"Sepi_DM24B03_00037",81,134,104,70,117,71,45,96,94
"Sepi_DM24B03_00038",21,32,18,15,21,16,11,19,19
"Sepi_DM24B03_00039",37,59,34,33,47,37,30,29,35
"Sepi_DM24B03_00040",3217,5000,3608,2237,3564,3179,1821,2926,2549
"Sepi_DM24B03_00041",904,626,698,1139,1539,1632,850,1010,1142
"Sepi_DM24B03_00042",1135,805,752,1318,1865,1894,996,982,1142
"Sepi_DM24B03_00043",33,24,21,41,44,43,20,15,25
"Sepi_DM24B03_00044",9591,5555,5917,5078,6969,6566,5931,9748,8757
"Sepi_DM24B03_00045",28247,19697,21007,12223,19012,15440,14593,20435,15777
"Sepi_DM24B03_00046",171,171,169,203,281,253,155,191,185
"Sepi_DM24B03_00047",51,65,60,41,53,61,31,56,37
"Sepi_DM24B03_00048",52623,34700,41718,16485,24430,19793,19449,30554,23419
"Sepi_DM24B03_00049",13560,10234,10896,4311,6599,5874,6039,8352,6930
"Sepi_DM24B03_00050",4260,3231,3274,1263,1998,1727,1793,2446,1744
"Sepi_DM24B03_00051",764,581,660,236,364,299,336,415,342
"Sepi_DM24B03_00052",5552,4745,4600,1754,2697,2393,2182,3532,2954
"Sepi_DM24B03_00053",23056,14412,16235,6893,10417,8651,8411,11848,8220
"Sepi_DM24B03_00054",14655,9444,9243,5130,7222,6263,5360,8928,7923
"Sepi_DM24B03_00055",29888,14110,18141,6285,9716,8108,7952,10782,7216
"Sepi_DM24B03_00056",32676,18401,20300,18832,26051,24386,15150,23882,22452
"Sepi_DM24B03_00057",38276,21699,25692,24327,35491,32180,19002,23539,20510
"Sepi_DM24B03_00058",14063,8841,9176,9968,14588,13330,7458,9912,8781
"Sepi_DM24B03_00059",13608,9313,10072,8146,12402,10097,6753,9177,7286
"Sepi_DM24B03_00060",67488,55513,55090,34509,49447,45702,27195,44532,40260
"Sepi_DM24B03_00061",11658,9843,10123,4990,7750,6313,4181,6503,5377
"Sepi_DM24B03_00062",2310,2214,2224,1497,2278,2001,1622,3010,2839
"Sepi_DM24B03_00063",1691,1661,1516,1034,1631,1495,1186,2202,1835
"Sepi_DM24B03_00064",130,182,144,87,155,128,104,162,141
"Sepi_DM24B03_00065",3606,2976,2847,6610,9554,8421,7582,12587,11285
"Sepi_DM24B03_00066",3022,2092,1990,5452,7436,6574,6127,9843,8211
"Sepi_DM24B03_00067",6005,3603,3248,10388,13843,12807,11774,20212,19822
"Sepi_DM24B03_00068",444,1365,810,1345,2012,1693,792,1519,1310
"Sepi_DM24B03_00069",4039,2847,3094,1534,2510,2198,1459,2687,2618
"Sepi_DM24B03_00070",1069,707,827,408,672,549,408,683,595
"Sepi_DM24B03_00071",1555,1148,1418,566,957,753,573,878,556
"Sepi_DM24B03_00072",3140,3997,3866,4991,7110,6145,5130,8607,6189
"Sepi_DM24B03_00073",2672,2160,2185,1425,2286,2096,1702,3112,3160
"Sepi_DM24B03_00074",3159,3131,2880,1587,2745,2183,1758,3465,3100
"Sepi_DM24B03_00075",11541,8153,8830,38603,50746,45242,12579,16742,11520
"Sepi_DM24B03_00076",1736,1232,1403,4428,6339,5246,1587,2008,1167
"Sepi_DM24B03_00077",1212,1372,1326,993,1570,1431,630,795,753
"Sepi_DM24B03_00078",457,565,523,305,501,393,191,270,250
"Sepi_DM24B03_00079",223,439,332,94,227,164,92,187,156
"Sepi_DM24B03_00080",569,1088,910,293,573,369,273,486,344
"Sepi_DM24B03_00081",5610,4900,5064,2342,3641,2920,2075,3065,2228
"Sepi_DM24B03_00082",9666,8717,8463,4173,6150,5606,3348,5487,4298
"Sepi_DM24B03_00083",2401,2212,2105,1082,1575,1365,770,1543,1202
"Sepi_DM24B03_00084",9847,8005,7602,4473,6397,5815,3090,5185,4222
"Sepi_DM24B03_00085",1507,1192,1118,603,957,787,402,728,548
"Sepi_DM24B03_00086",1628,2308,1938,975,1656,1313,894,1797,1737
"Sepi_DM24B03_00087",213,263,287,84,163,142,94,216,203
"Sepi_DM24B03_00088",182,124,158,59,102,81,91,143,100
"Sepi_DM24B03_00089",3497,5935,4527,1809,3328,2709,1963,4066,3906
"Sepi_DM24B03_00090",791,1383,1003,426,781,629,464,842,837
"Sepi_DM24B03_00091",5285,9202,7152,2730,4575,3958,2623,5774,5498
"Sepi_DM24B03_00092",10437,15504,14721,4392,7222,5881,4891,8911,7237
"Sepi_DM24B03_00093",1596,2480,1912,1575,2607,2203,1453,2595,2659
"Sepi_DM24B03_00094",4175,9610,6794,11849,19392,16631,9988,16702,14953
"Sepi_DM24B03_00095",629,1003,872,424,708,592,395,832,754
"Sepi_DM24B03_00096",1636,1911,1587,1760,2512,2277,1600,2723,2646
"Sepi_DM24B03_00097",11454,9119,9302,11240,18578,15045,11184,17539,12579
"Sepi_DM24B03_00098",2864,1602,1715,1673,2433,2045,2363,3706,3233
"Sepi_DM24B03_00100",148216,42053,64564,204243,283832,263997,165967,131165,136048
"Sepi_DM24B03_00101",1798,8241,5073,405,825,613,145,257,268
"Sepi_DM24B03_00099",3635,6123,5208,2564,4572,3685,1804,2207,2252
"Sepi_DM24B03_00102",15561,23571,20394,8190,13274,12201,6539,12666,11498
"Sepi_DM24B03_00103",1576,2190,1924,610,1081,896,525,1015,852
"Sepi_DM24B03_00104",5150,4082,4083,3181,4818,4088,4022,7315,5823
"Sepi_DM24B03_00105",1854,1426,1432,988,1563,1302,1354,2612,1997
"Sepi_DM24B03_00106",848,596,727,413,701,498,583,898,530
"Sepi_DM24B03_00107",40,70,50,44,48,53,41,74,65
"Sepi_DM24B03_00108",19,20,12,25,40,20,16,20,12
"Sepi_DM24B03_00109",97,119,109,106,168,124,135,200,225
"Sepi_DM24B03_00110",967,1572,1260,1388,2344,2519,1475,2031,2460
"Sepi_DM24B03_00111",3961,4260,4141,3303,5447,5240,3380,4847,4756
"Sepi_DM24B03_00112",3213,3165,3337,2610,4468,3989,2438,3180,2648
"Sepi_DM24B03_00113",2028,2030,1885,1856,3280,3242,1401,1558,1842
"Sepi_DM24B03_00114",8787,9107,9164,6011,9968,9264,5084,6760,6523
"Sepi_DM24B03_00115",17532,16823,15798,8405,12518,12005,8704,14237,12883
"Sepi_DM24B03_00116",18433,20029,18499,9027,13440,12014,8875,14798,13188
"Sepi_DM24B03_00117",195,350,297,193,374,342,189,288,265
"Sepi_DM24B03_00118",12745,16158,15809,4908,8032,6822,5335,10039,8400
"Sepi_DM24B03_00119",9999,10897,11954,3429,5346,4536,3536,6167,4311
"Sepi_DM24B03_00120",579,791,663,458,709,564,484,838,677
"Sepi_DM24B03_00121",4406,4448,3615,1469,2546,2408,1621,3619,3300
"Sepi_DM24B03_00122",14554,9754,9193,3894,7312,6018,4201,8332,6506
"Sepi_DM24B03_00123",713719,561045,601428,175194,291954,254278,145410,243726,184588
"Sepi_DM24B03_00124",40141,39610,35213,23399,36170,30513,25655,48088,43616
"Sepi_DM24B03_00125",15857,25189,22987,10702,19606,14914,7940,17440,12292
"Sepi_DM24B03_00126",319,690,440,352,714,571,288,690,604
"Sepi_DM24B03_00127",1741,969,1142,6850,10351,8077,1092,1847,1715
"Sepi_DM24B03_00128",10500,5109,6753,35034,50669,43015,5183,7303,5936
"Sepi_DM24B03_00129",11078,7813,8761,45877,74018,61308,15506,24128,17432
"Sepi_DM24B03_00130",7925,5536,5324,43238,59199,55044,10577,19634,16684
"Sepi_DM24B03_00131",4490,3010,3350,13226,19830,17412,4282,6812,4713
"Sepi_DM24B03_00132",2468,2756,2478,1118,1640,1487,1245,2009,2032
"Sepi_DM24B03_00133",461,400,305,1775,2306,2135,1210,1369,1612
"Sepi_DM24B03_00134",691,496,536,1655,2277,2132,1307,1179,1147
"Sepi_DM24B03_00135",1339,1197,1081,2437,3356,3372,1918,2511,2626
"Sepi_DM24B03_00136",369,379,358,509,764,752,482,595,516
"Sepi_DM24B03_00137",568,477,459,2607,3248,3100,2564,3706,3200
"Sepi_DM24B03_00138",1062,616,734,7831,9644,9029,7817,11005,10206
"Sepi_DM24B03_00139",43612,25676,26871,179271,236984,218591,253826,274796,225846
"Sepi_DM24B03_00140",3409,2271,2594,1458,2440,2117,2146,2755,2160
"Sepi_DM24B03_00141",1142,967,1032,550,900,766,437,530,632
"Sepi_DM24B03_00142",518,377,436,251,392,314,183,276,238
"Sepi_DM24B03_00143",66,76,38,32,66,67,25,32,40
"Sepi_DM24B03_00144",13138,16713,14687,1810,3242,2698,2142,3689,3412
"Sepi_DM24B03_00145",59512,18488,27495,25780,35947,37971,37094,37380,37932
"Sepi_DM24B03_00146",140975,29331,50118,94873,130611,144900,107884,82732,107081
"Sepi_DM24B03_00147",39323,7843,13514,30673,40624,46157,38003,33278,36968
"Sepi_DM24B03_00148",170132,42218,65601,93751,128295,114547,222552,242988,200080
"Sepi_DM24B03_00149",19073,30312,25573,10537,15888,15312,9959,17630,16733
"Sepi_DM24B03_00150",25748,43765,33683,17895,27330,26294,15927,27534,27843
"Sepi_DM24B03_00151",19701,35215,28806,15977,25649,23192,13366,19348,17623
"Sepi_DM24B03_00152",357422,361015,328056,165788,257081,233515,164986,294228,248138
"Sepi_DM24B03_00153",158678,154607,147850,69329,112796,100605,81688,125994,95397
"Sepi_DM24B03_00154",331,483,406,198,365,317,247,382,302
"Sepi_DM24B03_00155",438,487,499,266,445,399,299,356,299
"Sepi_DM24B03_00156",699,914,838,482,722,742,453,572,556
"Sepi_DM24B03_00157",843,1001,919,543,932,885,556,740,608
"Sepi_DM24B03_00158",400,471,467,325,517,446,242,317,323
"Sepi_DM24B03_00159",264,343,300,180,291,280,152,179,151
"Sepi_DM24B03_00160",569,912,625,465,756,811,313,405,562
"Sepi_DM24B03_00161",369,519,467,217,416,364,188,212,199
"Sepi_DM24B03_00162",1389,1834,1627,647,1136,999,616,863,716
"Sepi_DM24B03_00163",1262658,361629,488493,1248032,1408059,1426830,745034,646958,875178
"Sepi_DM24B03_00164",341548,100686,132753,281645,343606,334074,204412,212654,243640
"Sepi_DM24B03_00165",1506,1516,1344,2328,3326,2840,1782,2900,1967
"Sepi_DM24B03_00166",11173,14314,13240,9289,15257,13107,9512,13784,10893
"Sepi_DM24B03_00167",2204,2541,2220,1798,3012,2486,1850,2977,2516
"Sepi_DM24B03_00168",77,84,87,50,82,69,51,59,45
"Sepi_DM24B03_00169",255,398,367,252,409,335,213,355,272
"Sepi_DM24B03_00170",206,319,250,159,287,215,148,195,155
"Sepi_DM24B03_00171",421,336,375,756,1068,967,579,587,522
"Sepi_DM24B03_00172",166,142,188,342,488,431,185,187,200
"Sepi_DM24B03_00173",677,653,605,1127,1543,1565,662,776,795
"Sepi_DM24B03_00174",583,523,544,816,1174,1068,528,664,604
"Sepi_DM24B03_00175",684,666,669,764,1217,1060,599,798,682
"Sepi_DM24B03_00176",24808,10083,12581,27604,38093,44941,44251,38222,52881
"Sepi_DM24B03_00177",232325,49872,86446,79247,111458,102386,132254,132140,130503
"Sepi_DM24B03_00178",161599,34401,67068,45190,68392,61562,83321,80589,69525
"Sepi_DM24B03_00179",3838,5629,5075,1807,3444,2566,2440,4036,2757
"Sepi_DM24B03_00180",550,1015,750,294,580,486,391,814,748
"Sepi_DM24B03_00181",17382,30252,25800,6329,11670,9623,6623,14646,13341
"Sepi_DM24B03_00182",570,551,568,1388,2102,1849,1005,1087,935
"Sepi_DM24B03_00183",77033,34979,49452,43544,55022,51398,60536,77304,78091
"Sepi_DM24B03_00184",46578,18795,29621,21817,30009,26344,28795,28156,24152
"Sepi_DM24B03_00185",37314,14671,22469,14483,20058,17583,19176,20973,17019
"Sepi_DM24B03_00186",25009,10086,15254,8888,12897,10651,12860,14883,11519
"Sepi_DM24B03_00187",6051,5783,5027,14063,20114,19615,10851,21560,22418
"Sepi_DM24B03_00188",38,92,74,56,88,78,32,82,60
"Sepi_DM24B03_00189",878,1272,1306,595,988,804,666,1175,917
"Sepi_DM24B03_00190",1294,1047,1127,767,1100,950,913,1337,1063
"Sepi_DM24B03_00191",1995,2478,2235,213,284,275,257,474,486
"Sepi_DM24B03_00192",23438,13735,16139,12815,18108,16277,15544,16942,16017
"Sepi_DM24B03_00193",3671,2421,2619,1592,2201,1880,2440,3079,2427
"Sepi_DM24B03_00194",2189,3456,3013,2276,3488,3284,3945,6320,4754
"Sepi_DM24B03_00195",72865,85692,87667,26587,43272,35540,28673,51752,36221
"Sepi_DM24B03_00196",6526,4144,4589,6904,9318,8291,5390,6899,6173
"Sepi_DM24B03_00197",3139,2345,2362,2643,3489,3636,2382,3870,3283
"Sepi_DM24B03_00198",6650,6119,5375,6689,8490,7962,6176,10888,9469
"Sepi_DM24B03_00199",1402,1339,1271,2593,3682,3332,2503,2451,2263
"Sepi_DM24B03_00200",25272,11038,13824,14346,19243,17129,12783,15653,16850
"Sepi_DM24B03_00201",314,212,219,132438,172888,177523,223094,135294,177045
"Sepi_DM24B03_00202",111,128,105,55711,77829,80153,102272,50513,70657
"Sepi_DM24B03_00203",263,242,214,92414,116349,122046,145557,82142,123801
"Sepi_DM24B03_00204",2767,2224,2452,201077,249499,253035,322662,245267,282917
"Sepi_DM24B03_00205",4122,2221,2357,98821,122164,120935,118482,114015,115726
"Sepi_DM24B03_00206",18538,8426,11345,31967,49707,43846,34020,45462,31045
"Sepi_DM24B03_00207",1615,1047,1267,852,1493,1183,749,946,682
"Sepi_DM24B03_00208",15835,17169,17251,14683,21605,17940,13659,19330,14406
"Sepi_DM24B03_00209",1330,1797,1382,419,899,687,502,823,748
"Sepi_DM24B03_00210",4682,5566,5127,3814,5986,5815,2713,3025,3306
"Sepi_DM24B03_00211",4916,4958,4808,4951,7536,5959,4807,9483,7265
"Sepi_DM24B03_00212",261883,151252,192357,17010,64087,54759,7028,14346,16330
"Sepi_DM24B03_00213",698,1241,977,418,780,693,459,843,690
"Sepi_DM24B03_00214",61154,58635,52268,29265,43660,41651,29252,51552,46332
"Sepi_DM24B03_00215",2910,2037,2311,1275,1797,1600,1260,2107,1832
"Sepi_DM24B03_00216",1807,2410,1974,633,1018,974,551,1138,1034
"Sepi_DM24B03_00217",25,36,26,21,48,48,25,68,50
"Sepi_DM24B03_00218",293,275,253,336,521,557,273,699,543
"Sepi_DM24B03_00219",183,188,152,161,321,317,160,319,237
"Sepi_DM24B03_00220",298,525,336,475,887,971,493,866,971
"Sepi_DM24B03_00221",77,102,97,93,159,140,71,113,109
"Sepi_DM24B03_00222",138,129,140,123,205,217,88,158,147
"Sepi_DM24B03_00223",267,285,310,213,395,401,162,283,270
"Sepi_DM24B03_00224",675,605,609,363,626,576,332,649,458
"Sepi_DM24B03_00225",1361,1240,1251,588,1022,954,642,1134,762
"Sepi_DM24B03_00226",463,704,543,572,844,790,402,634,651
"Sepi_DM24B03_00227",4543,3654,3977,6016,10318,8768,8167,15964,12175
"Sepi_DM24B03_00229",1832,1194,1281,1446,2010,1898,1813,2522,2117
"Sepi_DM24B03_00230",5562,4726,4892,3303,4579,4158,3194,5118,3988
"Sepi_DM24B03_00231",2074,1609,1725,1537,2362,1994,1379,2587,2034
"Sepi_DM24B03_00232",1311,1885,1619,6291,9453,8653,4918,10371,8705
"Sepi_DM24B03_00233",106,144,147,734,1116,1080,411,646,629
"Sepi_DM24B03_00234",176,224,190,837,1192,1303,509,601,764
"Sepi_DM24B03_00235",190,259,214,559,851,934,340,400,473
"Sepi_DM24B03_00236",4015,4825,4069,2960,4617,4262,3060,5935,5500
"Sepi_DM24B03_00237",323,389,335,290,520,461,208,234,284
"Sepi_DM24B03_00238",39,22,35,20,54,51,25,20,16
"Sepi_DM24B03_00239",144,126,101,109,185,188,66,72,116
"Sepi_DM24B03_00240",1124,1011,949,876,1322,1265,650,725,774
"Sepi_DM24B03_00241",4257,3377,3630,1619,2582,2305,1471,2032,1635
"Sepi_DM24B03_00242",4656,3844,3970,1557,2607,2243,1552,2297,1774
"Sepi_DM24B03_00243",1113,830,1016,647,923,677,621,790,595
"Sepi_DM24B03_00244",134,192,180,70,127,108,66,88,63
"Sepi_DM24B03_00245",25641,8584,11285,12802,20211,16202,15461,24735,19194
"Sepi_DM24B03_00246",2045,3005,2706,812,1409,1173,742,955,776
"Sepi_DM24B03_00247",5077,4467,4921,3132,4695,4128,3075,2793,2126
"Sepi_DM24B03_00248",517,346,343,3261,4548,3628,3671,5228,4338
"Sepi_DM24B03_00249",691,856,786,210,353,310,301,726,623
"Sepi_DM24B03_00250",19094,31397,25382,14155,24028,21350,64160,132874,118304
